tweet_text,image_path,labels
nigga,dataset\images\0.jpg,"[4, 1, 3]"
my horses are retarded,dataset\images\1.jpg,"[5, 5, 5]"
nigga on ma momma youngboy be spitting real shit nigga,dataset\images\2.jpg,"[0, 0, 0]"
rt xxsugvngxx i ran into this holy nigga today,dataset\images\3.jpg,"[1, 0, 0]"
everybody calling you nigger now,dataset\images\4.jpg,"[1, 0, 1]"
real ass bitch give a fuck boutta nigga,dataset\images\5.jpg,"[0, 0, 0]"
fuck ice white supremacist trash all of you are racist garbage,dataset\images\6.jpg,"[5, 1, 1]"
days a cunt,dataset\images\7.jpg,"[0, 0, 0]"
sissy faggot,dataset\images\8.jpg,"[3, 3, 0]"
nigga what,dataset\images\9.jpg,"[4, 0, 3]"
so you turn to twitter for it instead of beating that nigga ass or contacting the police about it,dataset\images\10.jpg,"[0, 0, 0]"
i swear i was waiting for her to mouth the word nigger,dataset\images\11.jpg,"[0, 0, 0]"
im behind you nigga u my thug brother,dataset\images\12.jpg,"[0, 0, 0]"
who dafuqq is this nigga,dataset\images\13.jpg,"[0, 1, 1]"
bf move your bighead gf nigga what thats why your daddy left you in 08,dataset\images\14.jpg,"[2, 2, 1]"
this fat nigga slander is getting outta hand,dataset\images\15.jpg,"[3, 0, 0]"
ecofascist is just another nest for sjw,dataset\images\16.jpg,"[0, 0, 0]"
when a android nigga wanna talk about phone battery,dataset\images\17.jpg,"[0, 0, 0]"
check out this nigger,dataset\images\18.jpg,"[0, 0, 0]"
dat nigga my homie 3,dataset\images\19.jpg,"[0, 0, 0]"
imagine a nigga first time messaging you then says you off the team,dataset\images\20.jpg,"[0, 0, 0]"
phantom power music never surrender,dataset\images\21.jpg,"[0, 0, 0]"
nigga wya,dataset\images\22.jpg,"[1, 0, 0]"
carol really said fuck yall im a dyke and im here to save the universe,dataset\images\23.jpg,"[5, 0, 0]"
motivation from my favorite twat,dataset\images\24.jpg,"[0, 2, 0]"
mike was a twat cocky son of a b that always deleted his bad calls,dataset\images\25.jpg,"[5, 0, 0]"
and i said his 29 not 30 cos his 29 but this twat still said his nearer 30 eventhough his 29,dataset\images\26.jpg,"[0, 0, 0]"
ask a nigga to do it,dataset\images\27.jpg,"[0, 1, 0]"
pamilerin be like after seeing this me d muscular nigga,dataset\images\28.jpg,"[0, 1, 0]"
its definitely you nigga,dataset\images\29.jpg,"[0, 0, 0]"
lydia just called this man a cunt,dataset\images\30.jpg,"[0, 2, 0]"
and are the jack and ennis from brokeback faggot mountain yall,dataset\images\31.jpg,"[3, 1, 1]"
remember ruri dwarves are stubborn so never surrender shields up iron breaker,dataset\images\32.jpg,"[1, 0, 0]"
im really about to fight my cousin when i see this nigga,dataset\images\33.jpg,"[0, 0, 0]"
i fucked up my response was too faggot like i need to act more masc,dataset\images\34.jpg,"[0, 0, 3]"
netflix we coming for you nigga,dataset\images\35.jpg,"[0, 0, 0]"
the ice cream truck nigga was like,dataset\images\36.jpg,"[0, 0, 0]"
fuck u england u little twat,dataset\images\37.jpg,"[2, 2, 0]"
she nachos its just your turn nigga dumb niggas,dataset\images\38.jpg,"[0, 0, 0]"
nigga got them,dataset\images\39.jpg,"[0, 0, 0]"
fare play little cunt wont be doing that again,dataset\images\40.jpg,"[0, 0, 0]"
look at this nigga son,dataset\images\41.jpg,"[0, 0, 0]"
when youve just had enough of that cocky twat,dataset\images\42.jpg,"[0, 0, 0]"
some nigga how are you today me,dataset\images\43.jpg,"[0, 0, 0]"
shooky a nigga now yall mightve did sumn here,dataset\images\44.jpg,"[3, 1, 0]"
happy gday to my roun big 19 love ya 4life my nigga zhm tmg 228gfportmississippi,dataset\images\45.jpg,"[1, 3, 0]"
this nigga is the portuguese fat frank,dataset\images\46.jpg,"[1, 0, 0]"
the blame is thanos my nigger bonucci to kean maybe i dunno im not the king of racists,dataset\images\47.jpg,"[0, 0, 1]"
stfu nigga god damn,dataset\images\48.jpg,"[1, 2, 1]"
jeffery really said ill take a v card from a retard,dataset\images\49.jpg,"[0, 5, 0]"
hes offside you spastic of a twat jenas worst pundit ever,dataset\images\50.jpg,"[0, 0, 2]"
nigga slapped the keyboard,dataset\images\51.jpg,"[0, 1, 0]"
peng somali nigga thread lemme start it off,dataset\images\52.jpg,"[0, 0, 1]"
i cant stop thinking about you i know nigga,dataset\images\53.jpg,"[0, 0, 0]"
me oh you off today lets go get a tattoo also me but savings nigga me amp me,dataset\images\54.jpg,"[0, 0, 0]"
cardi got a new nigga every season she in love with lhhatl,dataset\images\55.jpg,"[0, 0, 1]"
facts like beat it my nigga,dataset\images\56.jpg,"[0, 0, 0]"
bro you look like human sherk and kurt cobains retarded son,dataset\images\57.jpg,"[0, 5, 5]"
broke my monitor because im a fucking retard so now im stuck with this wonderful thing,dataset\images\58.jpg,"[0, 0, 0]"
ops ops ops thank youuu mah nigga i love you huhu lt,dataset\images\59.jpg,"[0, 0, 3]"
when you just cant help it but make a twat of yourself,dataset\images\60.jpg,"[0, 5, 0]"
people were murdered today you fat twat,dataset\images\61.jpg,"[0, 5, 0]"
when you aint worried about nigga or bitch,dataset\images\62.jpg,"[1, 0, 0]"
bumping if you love me like nigga,dataset\images\63.jpg,"[0, 1, 1]"
nigga was in the store like,dataset\images\64.jpg,"[0, 0, 1]"
this nigger,dataset\images\65.jpg,"[1, 0, 1]"
ohhhh you retarded retarded,dataset\images\66.jpg,"[5, 5, 5]"
funniest nigga ive ever known happy g day to the realest dukedagod,dataset\images\67.jpg,"[0, 0, 0]"
big dyke energy right there,dataset\images\68.jpg,"[0, 3, 3]"
git a bottle eh bucky ar la intae ye ya brit cunt you know you want tae xx,dataset\images\69.jpg,"[5, 1, 0]"
heatherheyer now stfu you twat,dataset\images\70.jpg,"[0, 2, 5]"
sjws are some of the most illogical garbage and oversensitive people on this planet i hope they all die slow,dataset\images\71.jpg,"[5, 0, 5]"
a match made in nigger heaven,dataset\images\72.jpg,"[1, 1, 1]"
thats a good nigger,dataset\images\73.jpg,"[1, 1, 1]"
like nigga you know i know that you know that i know u bullshitting right,dataset\images\74.jpg,"[0, 0, 1]"
battlefield v arrivera finalement en retard,dataset\images\75.jpg,"[0, 5, 0]"
me cos theres no strange brooding women w dyke energy in vld,dataset\images\76.jpg,"[2, 0, 0]"
to the dude that called me a fat cunt before 9am yup,dataset\images\77.jpg,"[0, 0, 0]"
i am proud to serve the superior alphamale i am proud to be a faggot,dataset\images\78.jpg,"[0, 0, 0]"
wanna see a slimy twat,dataset\images\79.jpg,"[2, 5, 0]"
no retreat no surrender stay the course his truth is marching on,dataset\images\80.jpg,"[0, 1, 0]"
i would body this nigga if i ever seen him,dataset\images\81.jpg,"[1, 1, 0]"
i looked down at my arm and im for real starting to look that nigga in the car meme,dataset\images\82.jpg,"[1, 0, 0]"
my nigga floyd bvuma how u made it to the datemyfamilly dude yerrr,dataset\images\83.jpg,"[0, 0, 0]"
bout time a nigga said it lmao,dataset\images\84.jpg,"[0, 0, 0]"
this nigga murda mook smoking a ecig from royce da 59 foot i want this nigga gone,dataset\images\85.jpg,"[0, 2, 2]"
not this nigga here lmaoo,dataset\images\86.jpg,"[0, 0, 1]"
lemonade yo nigga wanna drank,dataset\images\87.jpg,"[1, 2, 0]"
look out for this cunt on the roads of newcastle today almost ran me off the road tucking tosser sekurawindows,dataset\images\88.jpg,"[0, 0, 3]"
on behalf of gooners everywhere my apologies for this twat,dataset\images\89.jpg,"[0, 0, 0]"
if ya ass a broke nigga hell nah i cant date youif ya ass a rich nigga imma fuck you till you aint one,dataset\images\90.jpg,"[0, 0, 0]"
dont be this retard,dataset\images\91.jpg,"[0, 0, 0]"
cunt president enjoy,dataset\images\92.jpg,"[0, 0, 0]"
thanks mr thaniel my nigga,dataset\images\93.jpg,"[0, 0, 1]"
free 69 startin to miss this nigga,dataset\images\94.jpg,"[0, 0, 0]"
what a twat,dataset\images\95.jpg,"[2, 1, 0]"
nigga you good,dataset\images\96.jpg,"[0, 0, 0]"
right giantsstop scoringsome twat spends ages going through all those goals,dataset\images\97.jpg,"[0, 0, 5]"
nigga,dataset\images\98.jpg,"[0, 4, 0]"
hook line and muthafucking sinker you almost gotta applaud this nigga hes still a coon though,dataset\images\99.jpg,"[0, 1, 0]"
something about a big nigga and beard gets me everytime,dataset\images\100.jpg,"[0, 0, 0]"
this nigga hitting flips and shit whole squad finna be like,dataset\images\101.jpg,"[1, 1, 5]"
how this nigga gonna tell us to be drug free,dataset\images\102.jpg,"[0, 0, 1]"
another benefit of being a redneck you are not expected to think that hard,dataset\images\103.jpg,"[0, 1, 5]"
no u faggot,dataset\images\104.jpg,"[3, 3, 3]"
gm treating a real nigga to work,dataset\images\105.jpg,"[1, 0, 0]"
this nigga hit 10 threes in the first half and hes their third scoring option,dataset\images\106.jpg,"[0, 1, 0]"
faggot in chastity like it should be 247,dataset\images\107.jpg,"[3, 5, 3]"
nobody is trying to replace you stop being a paranoid conspiracy theorist,dataset\images\108.jpg,"[2, 0, 0]"
the comments on her tweet are so retarded its making me sad,dataset\images\109.jpg,"[5, 5, 5]"
a nigga late but hes best dressed spi 2k19,dataset\images\110.jpg,"[0, 0, 0]"
proud of you mu nigga,dataset\images\111.jpg,"[0, 0, 0]"
nigga this shit hard had to add this to the playlist,dataset\images\112.jpg,"[0, 0, 0]"
this nigga though,dataset\images\113.jpg,"[0, 0, 0]"
jason van dykes partner testifies in murder trial,dataset\images\114.jpg,"[0, 1, 0]"
yes they can say dyke what u gonna do about it huh,dataset\images\115.jpg,"[0, 0, 0]"
yu can legit see the nigga smiling from the back of this nigga head thats how much he loves this shit,dataset\images\116.jpg,"[0, 1, 0]"
