tweet_text,image_path,labels,input_ids,attention_mask,transformed_image_path
nigga,dataset\images\0.jpg,"[0, 1, 0, 1, 1, 0]",input_ids/0.pt,attention_masks/0.pt,dataset/transformed_images\0.pt
my horses are retarded,dataset\images\1.jpg,"[0, 0, 0, 0, 0, 1]",input_ids/1.pt,attention_masks/1.pt,dataset/transformed_images\1.pt
nigga on ma momma youngboy be spitting real shit nigga,dataset\images\2.jpg,"[1, 0, 0, 0, 0, 0]",input_ids/2.pt,attention_masks/2.pt,dataset/transformed_images\2.pt
rt xxsugvngxx i ran into this holy nigga today,dataset\images\3.jpg,"[1, 1, 0, 0, 0, 0]",input_ids/3.pt,attention_masks/3.pt,dataset/transformed_images\3.pt
everybody calling you nigger now,dataset\images\4.jpg,"[1, 1, 0, 0, 0, 0]",input_ids/4.pt,attention_masks/4.pt,dataset/transformed_images\4.pt
real ass bitch give a fuck boutta nigga,dataset\images\5.jpg,"[1, 0, 0, 0, 0, 0]",input_ids/5.pt,attention_masks/5.pt,dataset/transformed_images\5.pt
fuck ice white supremacist trash all of you are racist garbage,dataset\images\6.jpg,"[0, 1, 0, 0, 0, 1]",input_ids/6.pt,attention_masks/6.pt,dataset/transformed_images\6.pt
days a cunt,dataset\images\7.jpg,"[1, 0, 0, 0, 0, 0]",input_ids/7.pt,attention_masks/7.pt,dataset/transformed_images\7.pt
sissy faggot,dataset\images\8.jpg,"[1, 0, 0, 1, 0, 0]",input_ids/8.pt,attention_masks/8.pt,dataset/transformed_images\8.pt
nigga what,dataset\images\9.jpg,"[1, 0, 0, 1, 1, 0]",input_ids/9.pt,attention_masks/9.pt,dataset/transformed_images\9.pt
so you turn to twitter for it instead of beating that nigga ass or contacting the police about it,dataset\images\10.jpg,"[1, 0, 0, 0, 0, 0]",input_ids/10.pt,attention_masks/10.pt,dataset/transformed_images\10.pt
i swear i was waiting for her to mouth the word nigger,dataset\images\11.jpg,"[1, 0, 0, 0, 0, 0]",input_ids/11.pt,attention_masks/11.pt,dataset/transformed_images\11.pt
im behind you nigga u my thug brother,dataset\images\12.jpg,"[1, 0, 0, 0, 0, 0]",input_ids/12.pt,attention_masks/12.pt,dataset/transformed_images\12.pt
who dafuqq is this nigga,dataset\images\13.jpg,"[1, 1, 0, 0, 0, 0]",input_ids/13.pt,attention_masks/13.pt,dataset/transformed_images\13.pt
bf move your bighead gf nigga what thats why your daddy left you in 08,dataset\images\14.jpg,"[0, 1, 1, 0, 0, 0]",input_ids/14.pt,attention_masks/14.pt,dataset/transformed_images\14.pt
this fat nigga slander is getting outta hand,dataset\images\15.jpg,"[1, 0, 0, 1, 0, 0]",input_ids/15.pt,attention_masks/15.pt,dataset/transformed_images\15.pt
ecofascist is just another nest for sjw,dataset\images\16.jpg,"[1, 0, 0, 0, 0, 0]",input_ids/16.pt,attention_masks/16.pt,dataset/transformed_images\16.pt
when a android nigga wanna talk about phone battery,dataset\images\17.jpg,"[1, 0, 0, 0, 0, 0]",input_ids/17.pt,attention_masks/17.pt,dataset/transformed_images\17.pt
check out this nigger,dataset\images\18.jpg,"[1, 0, 0, 0, 0, 0]",input_ids/18.pt,attention_masks/18.pt,dataset/transformed_images\18.pt
