tweet_text,image_path,labels
@FriskDontMiss Nigga https://t.co/cAsaLWEpue,dataset\images\0.jpg,"[4, 1, 3]"
My horses are retarded https://t.co/HYhqc6d5WN,dataset\images\1.jpg,"[5, 5, 5]"
“NIGGA ON MA MOMMA YOUNGBOY BE SPITTING REAL SHIT NIGGA” https://t.co/UczofqHrLq,dataset\images\2.jpg,"[0, 0, 0]"
RT xxSuGVNGxx: I ran into this HOLY NIGGA TODAY 😭😭😭😭 https://t.co/Wa6Spl9kIw,dataset\images\3.jpg,"[1, 0, 0]"
“EVERYbody calling you Nigger now!” https://t.co/6mguJ6KIBF,dataset\images\4.jpg,"[1, 0, 1]"
“ real ass bitch give a fuck boutta nigga” https://t.co/YtyXf52oGi,dataset\images\5.jpg,"[0, 0, 0]"
@WhiteHouse @realDonaldTrump Fuck ice. White supremacist trash. All of you are racist garbage. https://t.co/o2OB4yUnex,dataset\images\6.jpg,"[5, 1, 1]"
Day’s a cunt https://t.co/Ie6QZReHsw,dataset\images\7.jpg,"[0, 0, 0]"
#sissy faggot https://t.co/bm1nk8HcYO,dataset\images\8.jpg,"[3, 3, 0]"
@Gloriko_ Nigga what? https://t.co/nOwIJtgtU1,dataset\images\9.jpg,"[4, 0, 3]"
@DefNotJerm So.... you turn to twitter for it instead of beating that nigga ass or contacting the police about it? https://t.co/Lseai7IPOL,dataset\images\10.jpg,"[0, 0, 0]"
@WhatUpJT I swear I was waiting for her to mouth the word “nigger” 😂😂😂😂 https://t.co/c4eZPgQBjx,dataset\images\11.jpg,"[0, 0, 0]"
I’m 💯 behind you nigga u my thug brother🖤 https://t.co/9p6oizMmhn,dataset\images\12.jpg,"[0, 0, 0]"
Who dafuqq is this nigga https://t.co/D6YwVyGjNZ,dataset\images\13.jpg,"[0, 1, 1]"
bf: move your bighead 😅😂  gf: NIGGA WHAT?? THAT’S WHY YOUR DADDY LEFT YOU IN ‘08!! https://t.co/rvA65cGaZs,dataset\images\14.jpg,"[2, 2, 1]"
@OriginalSlimC This fat nigga slander is getting outta hand 😭😭 https://t.co/YVSTd3KbGw,dataset\images\15.jpg,"[3, 0, 0]"
#ecofascist @SierraClub is just another nest for #SJW @newliberallogic @tan123 https://t.co/hzovXBfp2U,dataset\images\16.jpg,"[0, 0, 0]"
When a android nigga wanna talk about phone battery: https://t.co/vhUBzckkfr,dataset\images\17.jpg,"[0, 0, 0]"
@FreedomzWriterx Check out this nigger😭 https://t.co/tngO83VGnO,dataset\images\18.jpg,"[0, 0, 0]"
Dat nigga my homie 3️⃣ https://t.co/rO9DYggULq,dataset\images\19.jpg,"[0, 0, 0]"
@SplashIQ Imagine a nigga first time messaging you. Then says you off the team 😭😭 https://t.co/sM79rigR4G,dataset\images\20.jpg,"[0, 0, 0]"
"🎶 Phantom Power Music 🎶 ""Never Surrender"" https://t.co/D3xtdlDiTJ https://t.co/1MgmcXKHIQ",dataset\images\21.jpg,"[0, 0, 0]"
NIGGA. Wya? https://t.co/weesxKtWqG,dataset\images\22.jpg,"[1, 0, 0]"
carol really said fuck yall I’m a dyke and I’m here to save the universe https://t.co/fY7ITVIhne,dataset\images\23.jpg,"[5, 0, 0]"
motivation from my favorite twat ❤️🍞🏃🏻‍♂️ https://t.co/YuCsuSonN7,dataset\images\24.jpg,"[0, 2, 0]"
"@until1mil Mike was a twat, cocky son of a B that always deleted his bad calls 😂 https://t.co/s7uNqto4Yk",dataset\images\25.jpg,"[5, 0, 0]"
And I said his 29 not 30 cos his 29 but this twat still said his nearer 30 eventhough his 29..... https://t.co/GgyQmajAbn,dataset\images\26.jpg,"[0, 0, 0]"
@HBCUfessions Ask a nigga to do it😂 https://t.co/Av9QcHpUFE,dataset\images\27.jpg,"[0, 1, 0]"
@Biisi96 Pamilerin be like after seeing this: me d muscular nigga https://t.co/89s7U6FpWP,dataset\images\28.jpg,"[0, 1, 0]"
@alexissdiamondd It’s definitely YOU nigga 😂 https://t.co/NiyfhqpyGh,dataset\images\29.jpg,"[0, 0, 0]"
@DanDr0y Lydia just called this man a cunt. https://t.co/va8JIKm4W9,dataset\images\30.jpg,"[0, 2, 0]"
"@machinegunkelly and @lilxanfuhyobih are the Jack and Ennis from Brokeback (faggot) Mountain, y'all. https://t.co/2BcznhTp6h",dataset\images\31.jpg,"[3, 1, 1]"
